alpha,cache_ratio,round,strategy,topology,weight
0.7,0.05,6,WLFU,TISCALI,1889.60486
0.6,0.05,0,WLRU,GEANT,2152.8431633333335
0.6,0.05,0,LCE-LRU,GEANT,2167.4583333333335
0.7,0.05,7,GRD,TISCALI,1958.9713
0.7,0.05,7,NOCACHE,TISCALI,2185.7688
0.7,0.05,5,WLFU,TISCALI,1831.1248833333334
0.7,0.05,7,WLRU,TISCALI,2060.3305333333333
0.7,0.05,7,LCE-LFU,TISCALI,1961.3839333333333
0.7,0.05,7,LCE-LRU,TISCALI,2086.394333333333
0.7,0.05,6,GRD,TISCALI,1945.6295166666666
0.7,0.05,6,NOCACHE,TISCALI,2112.07805
0.7,0.05,4,WLFU,TISCALI,2359.268396666667
0.7,0.05,6,LCE-LFU,TISCALI,1941.7163833333334
0.7,0.05,6,WLRU,TISCALI,2009.4819
0.7,0.05,6,LCE-LRU,TISCALI,2032.9931
0.7,0.05,5,GRD,TISCALI,1892.2403666666667
0.7,0.05,5,NOCACHE,TISCALI,2142.62415
0.7,0.05,3,WLFU,TISCALI,2455.6484483333334
0.7,0.05,5,WLRU,TISCALI,2010.8014733333334
0.7,0.05,5,LCE-LFU,TISCALI,1897.9245
0.7,0.05,5,LCE-LRU,TISCALI,2037.4646
0.7,0.05,4,GRD,TISCALI,2446.3006
0.7,0.05,4,NOCACHE,TISCALI,2755.5858333333335
0.7,0.05,4,WLRU,TISCALI,2590.89686
0.7,0.05,2,WLFU,TISCALI,2737.276821666667
0.7,0.05,4,LCE-LFU,TISCALI,2438.191333333333
0.7,0.05,4,LCE-LRU,TISCALI,2624.9942333333333
0.7,0.05,3,GRD,TISCALI,2533.87255
0.7,0.05,3,NOCACHE,TISCALI,2817.3757
0.7,0.05,1,WLFU,TISCALI,2431.652205
0.7,0.05,3,LCE-LFU,TISCALI,2534.7848
0.7,0.05,3,WLRU,TISCALI,2660.98795
0.7,0.05,3,LCE-LRU,TISCALI,2696.3387166666666
0.7,0.05,0,WLFU,TISCALI,1969.846805
0.7,0.05,2,NOCACHE,TISCALI,3173.42375
0.7,0.05,2,GRD,TISCALI,2823.588
0.7,0.05,2,WLRU,TISCALI,2999.310505
0.7,0.05,2,LCE-LFU,TISCALI,2814.2369
0.7,0.05,2,LCE-LRU,TISCALI,3029.2260666666666
0.7,0.05,1,GRD,TISCALI,2513.0685166666667
0.7,0.05,1,NOCACHE,TISCALI,2809.2787333333335
0.7,0.05,1,LCE-LFU,TISCALI,2502.016433333333
0.7,0.05,1,WLRU,TISCALI,2646.89954
0.7,0.05,0,GRD,TISCALI,2028.7195
0.7,0.05,1,LCE-LRU,TISCALI,2674.7778333333335
0.7,0.05,0,LCE-LFU,TISCALI,2031.5047166666666
0.7,0.05,0,NOCACHE,TISCALI,2241.098933333333
0.7,0.05,0,WLRU,TISCALI,2120.96237
0.9,0.002,7,WLFU,TISCALI,1883.6523566666667
0.9,0.002,7,WLRU,TISCALI,2047.2414266666667
0.7,0.05,0,LCE-LRU,TISCALI,2143.8007166666666
0.9,0.002,7,GRD,TISCALI,1929.1644333333334
0.9,0.002,7,NOCACHE,TISCALI,2197.772683333333
0.9,0.002,6,WLFU,TISCALI,1875.540395
0.9,0.002,6,WLRU,TISCALI,2000.5404633333333
0.9,0.002,7,LCE-LRU,TISCALI,2069.96305
0.9,0.002,7,LCE-LFU,TISCALI,1936.7039166666666
0.9,0.002,5,WLFU,TISCALI,1808.340295
0.9,0.002,6,NOCACHE,TISCALI,2105.9457666666667
0.9,0.002,6,GRD,TISCALI,1919.1181
0.9,0.002,5,WLRU,TISCALI,2003.884655
0.9,0.002,6,LCE-LFU,TISCALI,1911.4812
0.9,0.002,6,LCE-LRU,TISCALI,2024.50125
0.9,0.002,5,GRD,TISCALI,1850.4043333333334
0.9,0.002,5,NOCACHE,TISCALI,2164.1091333333334
0.9,0.002,4,WLFU,TISCALI,2324.32
0.9,0.002,4,WLRU,TISCALI,2600.6107683333335
0.6,0.05,7,WLFU,TISCALI,1991.65249
0.9,0.002,5,LCE-LRU,TISCALI,2029.4981666666667
0.9,0.002,5,LCE-LFU,TISCALI,1861.5827333333334
0.9,0.002,4,NOCACHE,TISCALI,2749.88845
0.9,0.002,4,GRD,TISCALI,2387.58875
0.9,0.002,3,WLFU,TISCALI,2428.7191566666665
0.9,0.002,3,WLRU,TISCALI,2671.0008766666665
0.9,0.002,4,LCE-LRU,TISCALI,2631.2828833333333
0.9,0.002,4,LCE-LFU,TISCALI,2385.80155
0.9,0.002,3,NOCACHE,TISCALI,2798.784166666667
0.9,0.002,3,GRD,TISCALI,2489.5420833333333
0.9,0.002,2,WLFU,TISCALI,2678.463853333333
0.9,0.002,2,WLRU,TISCALI,2973.300961666667
0.9,0.002,3,LCE-LRU,TISCALI,2701.6788
0.9,0.002,3,LCE-LFU,TISCALI,2488.7421833333333
0.9,0.002,2,NOCACHE,TISCALI,3167.1354
0.9,0.002,2,GRD,TISCALI,2746.0989
0.9,0.002,1,WLFU,TISCALI,2394.6530016666666
0.9,0.002,1,WLRU,TISCALI,2652.5778466666666
0.9,0.002,2,LCE-LRU,TISCALI,3005.735816666667
0.9,0.002,2,LCE-LFU,TISCALI,2743.9661666666666
0.9,0.002,1,NOCACHE,TISCALI,2831.1433333333334
0.9,0.002,1,GRD,TISCALI,2457.5145333333335
0.9,0.002,0,WLFU,TISCALI,1954.0428783333334
0.9,0.002,1,LCE-LRU,TISCALI,2684.0612333333333
0.9,0.002,1,LCE-LFU,TISCALI,2447.1682
0.9,0.002,0,GRD,TISCALI,1991.3816166666666
0.9,0.002,0,NOCACHE,TISCALI,2248.1574333333333
0.9,0.002,0,WLRU,TISCALI,2115.95373
0.6,0.05,6,WLFU,TISCALI,1959.72069
0.6,0.05,7,GRD,TISCALI,2045.4851833333332
0.9,0.002,0,LCE-LRU,TISCALI,2141.6032333333333
0.9,0.002,0,LCE-LFU,TISCALI,1996.28615
0.6,0.05,7,NOCACHE,TISCALI,2185.7092166666666
0.6,0.05,5,WLFU,TISCALI,1934.55381
0.6,0.05,7,WLRU,TISCALI,2117.7179316666666
0.6,0.05,7,LCE-LFU,TISCALI,2045.7554833333334
0.6,0.05,7,LCE-LRU,TISCALI,2138.235366666667
0.6,0.05,6,GRD,TISCALI,2007.5987
0.6,0.05,6,NOCACHE,TISCALI,2112.1323666666667
0.6,0.05,4,WLFU,TISCALI,2494.5466183333333
0.6,0.05,6,WLRU,TISCALI,2056.5316233333333
0.6,0.05,6,LCE-LFU,TISCALI,2005.4804666666666
0.6,0.05,6,LCE-LRU,TISCALI,2072.9265
0.6,0.05,5,GRD,TISCALI,1987.6830833333333
0.6,0.05,5,NOCACHE,TISCALI,2139.3226833333333
0.6,0.05,3,WLFU,TISCALI,2579.3407766666664
0.6,0.05,5,LCE-LFU,TISCALI,1990.6321833333334
0.6,0.05,5,WLRU,TISCALI,2073.579905
0.6,0.05,5,LCE-LRU,TISCALI,2090.5674166666668
0.6,0.05,4,GRD,TISCALI,2565.37865
0.6,0.05,4,NOCACHE,TISCALI,2753.9753166666665
0.6,0.05,2,WLFU,TISCALI,2897.887221666667
0.6,0.05,4,WLRU,TISCALI,2672.1752283333335
0.6,0.05,4,LCE-LFU,TISCALI,2559.7356666666665
0.6,0.05,4,LCE-LRU,TISCALI,2693.1165666666666
0.6,0.05,3,GRD,TISCALI,2647.934583333333
0.6,0.05,3,NOCACHE,TISCALI,2822.8040333333333
0.6,0.05,1,WLFU,TISCALI,2561.5250183333333
0.6,0.05,3,WLRU,TISCALI,2739.076956666667
0.6,0.05,3,LCE-LFU,TISCALI,2647.6541833333335
0.6,0.05,3,LCE-LRU,TISCALI,2764.18455
0.6,0.05,2,GRD,TISCALI,2973.95305
0.6,0.05,2,NOCACHE,TISCALI,3179.4179833333333
0.6,0.05,2,WLRU,TISCALI,3091.4400433333335
0.7,0.05,7,WLFU,GEANT,1079.76739
0.6,0.05,2,LCE-LFU,TISCALI,2967.72165
0.6,0.05,2,LCE-LRU,TISCALI,3116.2013166666666
0.6,0.05,1,GRD,TISCALI,2629.9112833333334
0.6,0.05,1,NOCACHE,TISCALI,2804.73055
0.6,0.05,0,WLFU,TISCALI,2057.043851666667
0.7,0.05,6,WLFU,GEANT,2092.0666366666665
0.6,0.05,1,WLRU,TISCALI,2724.13986
0.6,0.05,1,LCE-LRU,TISCALI,2742.1550833333336
0.6,0.05,1,LCE-LFU,TISCALI,2620.6900333333333
0.6,0.05,0,NOCACHE,TISCALI,2241.3287666666665
0.6,0.05,0,GRD,TISCALI,2108.26335
0.6,0.05,0,WLRU,TISCALI,2178.9223333333334
0.6,0.05,0,LCE-LFU,TISCALI,2109.1249
0.6,0.05,0,LCE-LRU,TISCALI,2193.2083333333335
0.7,0.05,7,GRD,GEANT,1141.7966833333332
0.7,0.05,7,NOCACHE,GEANT,1372.6558666666667
0.7,0.05,5,WLFU,GEANT,1706.9875433333334
0.7,0.05,7,LCE-LFU,GEANT,1145.23915
0.7,0.05,7,WLRU,GEANT,1253.47595
0.7,0.05,7,LCE-LRU,GEANT,1272.7536833333334
0.7,0.05,4,WLFU,GEANT,1714.6395616666666
0.7,0.05,6,NOCACHE,GEANT,2606.4077833333336
0.7,0.05,6,GRD,GEANT,2198.9443166666665
0.7,0.05,6,WLRU,GEANT,2398.250198333333
0.7,0.05,6,LCE-LFU,GEANT,2158.298116666667
0.7,0.05,6,LCE-LRU,GEANT,2417.5284666666666
0.7,0.05,5,GRD,GEANT,1794.8598166666666
0.7,0.05,5,NOCACHE,GEANT,2107.568583333333
0.7,0.05,5,LCE-LFU,GEANT,1783.4764
0.7,0.05,3,WLFU,GEANT,1610.7564266666666
0.7,0.05,5,WLRU,GEANT,1940.3101833333333
0.7,0.05,5,LCE-LRU,GEANT,1968.3611333333333
0.7,0.05,4,GRD,GEANT,1802.6691
0.7,0.05,4,NOCACHE,GEANT,2139.9516166666667
0.7,0.05,2,WLFU,GEANT,2355.8711433333333
0.7,0.05,4,LCE-LFU,GEANT,1791.53085
0.7,0.05,4,WLRU,GEANT,1968.13528
0.7,0.05,4,LCE-LRU,GEANT,1997.7466833333333
0.7,0.05,1,WLFU,GEANT,1506.2377133333334
0.7,0.05,3,NOCACHE,GEANT,2064.78305
0.7,0.05,3,GRD,GEANT,1694.1032166666666
0.7,0.05,3,LCE-LFU,GEANT,1689.0646
