alpha,cache_ratio,round,strategy,topology,weight
0.9,0.01,1,WLRU,TISCALI,2479.719453333333
0.9,0.01,1,NOCACHE,TISCALI,2831.1433333333334
0.9,0.01,1,GRD,TISCALI,2291.4497333333334
0.9,0.01,0,WLFU,TISCALI,1838.2703383333333
0.9,0.01,1,LCE-LFU,TISCALI,2275.8533
0.9,0.01,1,LCE-LRU,TISCALI,2515.18465
0.9,0.01,0,GRD,TISCALI,1886.1470833333333
0.9,0.01,0,NOCACHE,TISCALI,2248.1574333333333
0.8,0.05,6,WLFU,TISCALI,1791.90118
0.9,0.01,0,WLRU,TISCALI,2007.9924366666667
0.8,0.05,7,GRD,TISCALI,1834.5738333333334
0.9,0.01,0,LCE-LRU,TISCALI,2038.1767333333332
0.9,0.01,0,LCE-LFU,TISCALI,1891.26955
0.8,0.05,7,NOCACHE,TISCALI,2190.680283333333
0.8,0.05,7,WLRU,TISCALI,1951.9749266666668
0.8,0.05,5,WLFU,TISCALI,1682.8276833333334
0.8,0.05,7,LCE-LRU,TISCALI,1989.03385
0.8,0.05,7,LCE-LFU,TISCALI,1837.8564166666667
0.8,0.05,6,GRD,TISCALI,1854.9355833333334
0.8,0.05,6,NOCACHE,TISCALI,2109.9558
0.8,0.05,6,WLRU,TISCALI,1926.5269083333333
0.8,0.05,4,WLFU,TISCALI,2167.8176783333333
0.8,0.05,6,LCE-LFU,TISCALI,1846.2205
0.8,0.05,6,LCE-LRU,TISCALI,1958.3391166666668
0.8,0.05,5,GRD,TISCALI,1753.3409333333334
0.8,0.05,5,NOCACHE,TISCALI,2151.0018333333333
0.8,0.05,3,WLFU,TISCALI,2280.09652
0.8,0.05,5,WLRU,TISCALI,1893.1813866666666
0.8,0.05,5,LCE-LFU,TISCALI,1760.37875
0.8,0.05,5,LCE-LRU,TISCALI,1933.1804166666666
0.8,0.05,4,GRD,TISCALI,2262.9976
0.8,0.05,4,NOCACHE,TISCALI,2755.6235333333334
0.8,0.05,4,WLRU,TISCALI,2438.974313333333
0.8,0.05,2,WLFU,TISCALI,2495.000595
0.8,0.05,4,LCE-LFU,TISCALI,2255.2894833333335
0.8,0.05,4,LCE-LRU,TISCALI,2486.165466666667
0.8,0.05,3,GRD,TISCALI,2367.2574
0.8,0.05,3,NOCACHE,TISCALI,2811.4157333333333
0.8,0.05,1,WLFU,TISCALI,2244.3426216666667
0.8,0.05,3,WLRU,TISCALI,2518.000341666667
0.8,0.05,3,LCE-LFU,TISCALI,2365.0874
0.8,0.05,3,LCE-LRU,TISCALI,2565.144
0.8,0.05,2,GRD,TISCALI,2598.4762333333333
0.8,0.05,2,NOCACHE,TISCALI,3172.992166666667
0.8,0.05,0,WLFU,TISCALI,1850.5030916666667
0.8,0.05,2,WLRU,TISCALI,2816.8753016666665
0.8,0.05,2,LCE-LFU,TISCALI,2584.8334666666665
0.8,0.05,2,LCE-LRU,TISCALI,2862.3677
0.8,0.05,1,GRD,TISCALI,2338.5984166666667
0.8,0.05,1,NOCACHE,TISCALI,2817.828266666667
0.8,0.05,1,LCE-LFU,TISCALI,2321.61395
0.8,0.05,1,WLRU,TISCALI,2501.192975
0.8,0.05,0,GRD,TISCALI,1912.8076333333333
0.8,0.05,1,LCE-LRU,TISCALI,2538.291
0.8,0.05,0,NOCACHE,TISCALI,2242.1160333333332
0.8,0.05,0,LCE-LFU,TISCALI,1916.16155
0.8,0.05,0,WLRU,TISCALI,2019.971065
0.9,0.004,7,WLFU,TISCALI,1830.0914916666666
0.9,0.004,7,WLRU,TISCALI,2007.2342016666666
0.8,0.05,0,LCE-LRU,TISCALI,2051.5810166666665
0.9,0.004,7,NOCACHE,TISCALI,2197.772683333333
0.9,0.004,6,WLFU,TISCALI,1837.65551
0.9,0.004,7,GRD,TISCALI,1880.8278166666666
0.9,0.004,6,WLRU,TISCALI,1966.4518783333333
0.9,0.004,7,LCE-LFU,TISCALI,1885.97735
0.9,0.004,7,LCE-LRU,TISCALI,2034.9192333333333
0.9,0.004,6,NOCACHE,TISCALI,2105.9457666666667
0.9,0.004,5,WLFU,TISCALI,1750.8642483333333
0.9,0.004,6,GRD,TISCALI,1883.1067666666668
0.9,0.004,5,WLRU,TISCALI,1956.96155
0.9,0.004,6,LCE-LRU,TISCALI,1993.1381333333334
0.9,0.004,4,WLFU,TISCALI,2251.332535
0.9,0.004,6,LCE-LFU,TISCALI,1876.1350666666667
0.9,0.004,5,NOCACHE,TISCALI,2164.1091333333334
0.9,0.004,5,GRD,TISCALI,1797.6334833333333
0.9,0.004,4,WLRU,TISCALI,2533.5977
0.9,0.004,5,LCE-LRU,TISCALI,1985.1238166666667
0.9,0.05,7,WLFU,GEANT,774.5149733333334
0.9,0.004,5,LCE-LFU,TISCALI,1809.3765833333334
0.9,0.004,4,NOCACHE,TISCALI,2749.88845
0.9,0.004,4,GRD,TISCALI,2318.3941333333332
0.9,0.004,3,WLFU,TISCALI,2357.103755
0.9,0.004,3,WLRU,TISCALI,2610.596755
0.9,0.004,4,LCE-LRU,TISCALI,2570.6942166666668
0.9,0.004,4,LCE-LFU,TISCALI,2314.6128
0.9,0.004,3,NOCACHE,TISCALI,2798.784166666667
0.9,0.004,3,GRD,TISCALI,2423.9175
0.9,0.05,6,WLFU,GEANT,1483.2928733333333
0.9,0.004,3,LCE-LFU,TISCALI,2423.64115
0.9,0.004,3,LCE-LRU,TISCALI,2648.53425
0.9,0.004,2,NOCACHE,TISCALI,3167.1354
0.9,0.004,2,WLFU,TISCALI,2586.4001933333334
0.9,0.004,2,GRD,TISCALI,2660.9874
0.9,0.004,2,WLRU,TISCALI,2902.9937833333333
0.9,0.004,2,LCE-LFU,TISCALI,2655.23175
0.9,0.004,2,LCE-LRU,TISCALI,2942.0329
0.9,0.004,1,WLFU,TISCALI,2322.084085
0.9,0.004,1,NOCACHE,TISCALI,2831.1433333333334
0.9,0.004,1,GRD,TISCALI,2388.6637
0.9,0.004,1,WLRU,TISCALI,2584.913363333333
0.9,0.004,0,WLFU,TISCALI,1906.07365
0.9,0.004,1,LCE-LRU,TISCALI,2618.5237666666667
0.9,0.004,1,LCE-LFU,TISCALI,2378.652883333333
0.9,0.004,0,NOCACHE,TISCALI,2248.1574333333333
0.9,0.004,0,GRD,TISCALI,1948.4392666666668
0.9,0.05,7,GRD,GEANT,846.4673333333334
0.9,0.004,0,WLRU,TISCALI,2075.39111
0.9,0.004,0,LCE-LRU,TISCALI,2101.7510666666667
0.9,0.004,0,LCE-LFU,TISCALI,1954.0115666666666
0.9,0.05,7,NOCACHE,GEANT,1325.7193666666667
0.9,0.05,5,WLFU,GEANT,1275.0918966666666
0.9,0.05,7,LCE-LFU,GEANT,837.6950666666667
0.9,0.05,7,WLRU,GEANT,960.7895783333333
0.9,0.05,7,LCE-LRU,GEANT,997.5489166666666
0.9,0.05,4,WLFU,GEANT,1224.128615
0.9,0.05,6,NOCACHE,GEANT,2592.794316666667
0.9,0.05,6,GRD,GEANT,1620.1631333333332
0.9,0.05,6,WLRU,GEANT,1846.8922466666668
0.9,0.05,6,LCE-LFU,GEANT,1556.5525833333334
0.9,0.05,6,LCE-LRU,GEANT,1888.50245
0.9,0.05,5,GRD,GEANT,1375.1587
0.9,0.05,5,NOCACHE,GEANT,2075.5403
0.9,0.05,3,WLFU,GEANT,1171.7087783333334
0.9,0.05,5,WLRU,GEANT,1535.1604883333334
0.9,0.05,5,LCE-LFU,GEANT,1351.2417666666668
0.9,0.05,5,LCE-LRU,GEANT,1584.5674166666668
0.9,0.05,4,GRD,GEANT,1329.5397166666667
0.9,0.05,4,NOCACHE,GEANT,2134.3076333333333
0.9,0.05,2,WLFU,GEANT,1844.6419916666666
0.9,0.05,4,WLRU,GEANT,1517.7531083333333
0.9,0.05,4,LCE-LFU,GEANT,1303.82095
0.9,0.05,4,LCE-LRU,GEANT,1572.9407833333332
0.9,0.05,3,GRD,GEANT,1268.3544166666666
0.9,0.05,3,NOCACHE,GEANT,2139.7095
0.9,0.05,1,WLFU,GEANT,1071.891005
0.9,0.05,3,LCE-LFU,GEANT,1250.3330833333334
0.9,0.05,3,WLRU,GEANT,1436.08007
0.9,0.05,3,LCE-LRU,GEANT,1482.1160166666666
0.9,0.05,0,WLFU,GEANT,1311.3637666666666
0.9,0.05,2,NOCACHE,GEANT,2813.2321666666667
0.9,0.05,2,GRD,GEANT,1957.78635
0.9,0.05,2,WLRU,GEANT,2152.5070966666667
0.9,0.05,2,LCE-LFU,GEANT,1904.5230833333333
0.9,0.05,2,LCE-LRU,GEANT,2180.1594833333334
0.9,0.05,1,GRD,GEANT,1174.60355
0.9,0.05,1,NOCACHE,GEANT,1902.31485
0.9,0.05,1,LCE-LFU,GEANT,1150.9283166666667
0.9,0.05,1,WLRU,GEANT,1339.14409
0.9,0.05,0,GRD,GEANT,1422.5168666666666
0.9,0.05,1,LCE-LRU,GEANT,1384.76725
0.9,0.05,0,LCE-LFU,GEANT,1384.0073333333332
0.9,0.05,0,NOCACHE,GEANT,2279.5118333333335
0.9,0.05,0,WLRU,GEANT,1605.9564533333332
0.9,0.002,7,WLFU,GEANT,1060.2648566666667
0.9,0.05,0,LCE-LRU,GEANT,1648.1803166666666
0.9,0.002,7,WLRU,GEANT,1236.0860416666667
0.9,0.002,6,WLFU,GEANT,2027.14756
0.9,0.002,7,NOCACHE,GEANT,1325.7193666666667
0.9,0.002,7,GRD,GEANT,1092.4932833333332
0.9,0.002,6,WLRU,GEANT,2364.7680433333335
0.9,0.002,7,LCE-LFU,GEANT,1100.4302333333333
0.9,0.002,7,LCE-LRU,GEANT,1248.4505166666668
0.9,0.002,6,NOCACHE,GEANT,2592.794316666667
0.9,0.002,6,GRD,GEANT,2088.375666666667
0.9,0.002,5,WLFU,GEANT,1671.5024733333332
0.9,0.002,6,LCE-LFU,GEANT,2072.3381833333333
0.9,0.002,6,LCE-LRU,GEANT,2381.5265
0.9,0.002,5,WLRU,GEANT,1914.9032583333333
0.9,0.002,5,NOCACHE,GEANT,2075.5403
0.9,0.002,4,WLFU,GEANT,1665.8815866666666
0.9,0.002,5,GRD,GEANT,1718.03545
0.9,0.002,4,WLRU,GEANT,1940.2319566666667
0.9,0.002,5,LCE-LFU,GEANT,1719.4938666666667
0.9,0.002,5,LCE-LRU,GEANT,1938.5163833333334
0.9,0.002,4,NOCACHE,GEANT,2134.3076333333333
0.9,0.002,4,GRD,GEANT,1715.5804333333333
0.9,0.002,3,WLFU,GEANT,1581.3584666666666
0.9,0.002,4,LCE-LFU,GEANT,1715.5422166666667
0.9,0.002,4,LCE-LRU,GEANT,1964.2367666666667
0.9,0.002,3,WLRU,GEANT,1840.4240316666667
0.9,0.002,2,WLFU,GEANT,2310.8456266666667
0.9,0.002,3,NOCACHE,GEANT,2139.7095
0.9,0.002,3,GRD,GEANT,1627.4415833333333
0.9,0.002,2,WLRU,GEANT,2593.70015
0.9,0.002,3,LCE-LFU,GEANT,1631.2193
0.9,0.002,3,LCE-LRU,GEANT,1861.6540833333333
0.9,0.002,2,NOCACHE,GEANT,2813.2321666666667
0.9,0.002,1,WLFU,GEANT,1469.7456483333333
0.9,0.002,2,GRD,GEANT,2360.5026333333335
0.9,0.002,2,LCE-LFU,GEANT,2346.7373333333335
0.9,0.002,1,WLRU,GEANT,1732.78867
0.9,0.002,2,LCE-LRU,GEANT,2607.4797
0.9,0.002,0,WLFU,GEANT,1753.0907016666667
0.9,0.002,1,NOCACHE,GEANT,1902.31485
0.9,0.002,1,GRD,GEANT,1525.21005
0.9,0.002,0,WLRU,GEANT,2053.8737816666667
0.9,0.002,1,LCE-LFU,GEANT,1520.9400666666668
0.9,0.002,1,LCE-LRU,GEANT,1756.4303
0.9,0.002,0,GRD,GEANT,1803.7517333333333
0.9,0.002,0,NOCACHE,GEANT,2279.5118333333335
0.9,0.002,0,LCE-LFU,GEANT,1798.2888833333334
0.9,0.002,0,LCE-LRU,GEANT,2076.6961666666666
